Ia Fit Probability,Normalized Ia Chi^2,Normalized CC Chi^2,Ia=0__CC=1,,,,,
0.0259,0.281808071,0.281808071,1,,,,,
0.0042,0.187820513,0.187820513,1,,,,,
0,0.190064337,0.190064337,1,,,,,
9.75E-01,0.169587651,0.169587651,1,,,,,
0.4775,0.34351775,0.34351775,1,,,,,
0.2055,0.30940066,0.30940066,1,,,,,
0.0031,0.065984259,0.065984259,1,,,,,
0.2666,0.28655711,0.28655711,1,,,,,
0.1681,0.258417381,0.258417381,1,,,,,
0.4439,0.205281841,0.205281841,1,,,,,
0.0008,0.298612819,0.298612819,1,,,,,
0.6172,0.349811327,0.349811327,1,,,,,
0.804,0.419580323,0.419580323,1,,,,,
0.0811,0.332927019,0.332927019,1,,,,,
0.0992,0.411031113,0.411031113,1,,,,,
0.032,0.424877443,0.424877443,1,,,,,
0.138,0.244411189,0.244411189,1,,,,,
8.82E-01,0.13844541,0.13844541,1,,,,,
0.1075,0.27864052,0.27864052,1,,,,,
0.0099,0.17286122,0.17286122,1,,,,,
0.9056225,0.678317619,0.678317619,1,,,,,
0.1829,0.35987611,0.35987611,1,,,,,
0.2324,0.350401057,0.350401057,1,,,,,
0.1128,0.304275072,0.304275072,1,,,,,
0.5748,0.298482402,0.298482402,1,,,,,
0.1597,0.299367698,0.299367698,1,,,,,
0.0677,0.239011925,0.239011925,1,,,,,
0.0075,0.297953556,0.297953556,1,,,,,
0.1249,0.302159943,0.302159943,1,,,,,
0.0034,0.200197708,0.200197708,1,,,,,
0.077,0.33907468,0.33907468,1,,,,,
0.0015,0.201032637,0.201032637,1,,,,,
0.004,0.229445292,0.229445292,1,,,,,
0.6332,0.442200765,0.442200765,1,,,,,
0.0012,0.266254898,0.266254898,1,,,,,
0.0004,0.240457147,0.240457147,1,,,,,
0.0179,0.2419949,0.2419949,1,,,,,
0.5416,0.564855765,0.564855765,1,,,,,
2.49E-01,0.058720813,0.058720813,1,,,,,
4.18E-01,0.106102656,0.106102656,1,,,,,
0.4336,0.266960181,0.266960181,1,,,,,
0.0697,0.309133103,0.309133103,1,,,,,
0.0024,0.075688539,0.075688539,1,,,,,
0.0141,0.205503363,0.205503363,1,,,,,
0.0485,0.317394404,0.317394404,1,,,,,
0.394,0.252812258,0.252812258,1,,,,,
0.0113,0.297780956,0.297780956,1,,,,,
0.0024,0.181589356,0.181589356,1,,,,,
0.3149,0.326781473,0.326781473,1,,,,,
0.0043,0.15893369,0.15893369,1,,,,,
0.0273,0.33381935,0.33381935,1,,,,,
0.2268,0.244892954,0.244892954,1,,,,,
0.0002,0.238579507,0.238579507,1,,,,,
7.45E-01,0.272763684,0.272763684,1,,,,,
7.59E-01,0.208093753,0.208093753,1,,,,,
0.0018,0.280586557,0.280586557,1,,,,,
0.0358,0.374317697,0.374317697,1,,,,,
0.415,0.39907384,0.39907384,1,,,,,
0.6374,0.47504867,0.47504867,1,,,,,
0.0176,0.178093691,0.178093691,1,,,,,
2.89E-02,0.075166645,0.075166645,1,,,,,
0.204,0.310151044,0.310151044,1,,,,,
0.0366,0.23174097,0.23174097,1,,,,,
0.0024,0.230263158,0.230263158,1,,,,,
0.3745,0.459975261,0.459975261,1,,,,,
0.7118,0.444664112,0.444664112,1,,,,,
9.91E-01,0.294947162,0.294947162,1,,,,,
0.6704,0.605663974,0.605663974,1,,,,,
0.0003,0.107126254,0.107126254,1,,,,,
0.401,0.435896464,0.435896464,1,,,,,
0.0122,0.317279746,0.317279746,1,,,,,
0.0002,0.34790475,0.34790475,1,,,,,
0.0178,0.309700408,0.309700408,1,,,,,
0.0138,0.284132247,0.284132247,1,,,,,
0.1681,0.225896097,0.225896097,1,,,,,
0.0218,0.233506152,0.233506152,1,,,,,
0.4173,0.39593558,0.39593558,1,,,,,
0,0.275199434,0.275199434,1,,,,,
0.0008,0.231884058,0.231884058,1,,,,,
0.155,0.469131882,0.469131882,1,,,,,
0.047,0.323681305,0.323681305,1,,,,,
1E-04,0.11503317,0.11503317,1,,,,,
0.0888,0.498877325,0.498877325,1,,,,,
0.0349,0.300495147,0.300495147,1,,,,,
0,0.122873586,0.122873586,1,,,,,
0.0201,0.096163289,0.096163289,1,,,,,
0.2291,0.531593021,0.531593021,1,,,,,
0.0188,0.395591983,0.395591983,1,,,,,
0.0058,0.374295667,0.374295667,1,,,,,
0.1042,0.261671497,0.261671497,1,,,,,
0.5435,0.779950688,0.779950688,1,,,,,
0.0026,0.194870327,0.194870327,1,,,,,
0.0002,0.199578125,0.199578125,1,,,,,
0.0164,0.351792727,0.351792727,1,,,,,
0.0911,0.429109046,0.429109046,1,,,,,
0.0002,0.031318174,0.031318174,1,,,,,
0.2011,0.24774841,0.24774841,1,,,,,
9.56E-01,0.247302961,0.247302961,1,,,,,
0.00E+00,0.014641382,0.014641382,0,,,,,
0.0003,0.046368118,0.046368118,0,,,,,
0.00E+00,0.021625848,0.021625848,0,,,,,
0.00E+00,0.003651523,0.003651523,0,,,,,
0.2437,0.312154565,0.312154565,0,,,,,
0.00E+00,0.017595633,0.017595633,0,,,,,
0.0278,0.154585332,0.154585332,0,,,,,
0,6.58094E-09,6.58094E-09,0,,,,,
0,0.179784193,0.179784193,0,,,,,
0,0.003589097,0.003589097,0,,,,,
5.00E-03,0.04297045,0.04297045,0,,,,,
1E-04,0.057677759,0.057677759,0,,,,,
0.00E+00,0.010776087,0.010776087,0,,,,,
0.00E+00,0.03074211,0.03074211,0,,,,,
1.60E-03,0.041947408,0.041947408,0,,,,,
1E-04,0.103047081,0.103047081,0,,,,,
0.1504,0.323189863,0.323189863,0,,,,,
0.00E+00,0.002708179,0.002708179,0,,,,,
6.05E-01,0.281173772,0.281173772,0,,,,,
0.0003,0.285396815,0.285396815,0,,,,,
0.0002,1.20683E-06,1.20683E-06,0,,,,,
0.5099,0.289102454,0.289102454,0,,,,,
0.00E+00,0.01179954,0.01179954,0,,,,,
0.00E+00,0.017206214,0.017206214,0,,,,,
1.00E-04,0.048281462,0.048281462,0,,,,,
0.0621,0.240237565,0.240237565,0,,,,,
0.00E+00,0.038781743,0.038781743,0,,,,,
0.0008,0.085270104,0.085270104,0,,,,,
0,0.016154098,0.016154098,0,,,,,
0.00E+00,0.018819425,0.018819425,0,,,,,
0.0388,0.29044723,0.29044723,0,,,,,
0,0.07953715,0.07953715,0,,,,,
0.00E+00,0.071159092,0.071159092,0,,,,,
6.00E-04,0.106841295,0.106841295,0,,,,,
0.00E+00,0.03571105,0.03571105,0,,,,,
1.00E-04,0.032989705,0.032989705,0,,,,,
0.0016,0.31626706,0.31626706,0,,,,,
0.0134,0.196510377,0.196510377,0,,,,,
0.00E+00,0.036397933,0.036397933,0,,,,,
1E-04,0.158109311,0.158109311,0,,,,,
0.0906,0.304586767,0.304586767,0,,,,,
0.0052,0.293690255,0.293690255,0,,,,,
0.5246,0.320295877,0.320295877,0,,,,,
0.00E+00,0.004429766,0.004429766,0,,,,,
0.0073,0.16296115,0.16296115,0,,,,,
0.00E+00,0.014670651,0.014670651,0,,,,,
0,0.037392282,0.037392282,0,,,,,
0.00E+00,0.044720392,0.044720392,0,,,,,
0.1011,0.241636632,0.241636632,0,,,,,
0.0003,0.066973452,0.066973452,0,,,,,
0.0812,0.238799257,0.238799257,0,,,,,
0.00E+00,0.013879659,0.013879659,0,,,,,
4.00E-04,0.025485138,0.025485138,0,,,,,
0,0.040748776,0.040748776,0,,,,,
0.1262,0.166353699,0.166353699,0,,,,,
2.00E-04,0.04318191,0.04318191,0,,,,,
0.00E+00,0.033377503,0.033377503,0,,,,,
0.1879,0.497535358,0.497535358,1,,,,,
0.0049,0.322482092,0.322482092,1,,,,,
0.5087,0.317994852,0.317994852,1,,,,,
0.6317,0.670517781,0.670517781,1,,,,,
0.5626,0.287543494,0.287543494,1,,,,,
0.0145,0.221282927,0.221282927,1,,,,,
0.0231,0.285012397,0.285012397,1,,,,,
0.1093,0.261741227,0.261741227,1,,,,,
0.0333,0.308575068,0.308575068,1,,,,,
0.6701,0.304733988,0.304733988,1,,,,,
0.8932,0.412887709,0.412887709,1,,,,,
9.65E-01,0.348379443,0.348379443,1,,,,,
0.1406,0.350358434,0.350358434,1,,,,,
0.0002,0.142050449,0.142050449,1,,,,,
0.0456,0.242921461,0.242921461,1,,,,,
0.0547,0.309733714,0.309733714,1,,,,,
0.0035,0.151749879,0.151749879,1,,,,,
0.5751,0.316455306,0.316455306,1,,,,,
0.0025,0.304032143,0.304032143,1,,,,,
0.6091,0.317822777,0.317822777,1,,,,,
0.1431,0.458816002,0.458816002,1,,,,,
0.0898,0.596461018,0.596461018,1,,,,,
0.4002,0.311127864,0.311127864,1,,,,,
0.084,0.341069041,0.341069041,1,,,,,
0.0476,0.149287069,0.149287069,1,,,,,
0.6684,0.327290127,0.327290127,1,,,,,
0.0162,0.248090912,0.248090912,1,,,,,
0.0083,0.239349833,0.239349833,1,,,,,
0.4019,0.333246106,0.333246106,1,,,,,
8.75E-02,0.107722637,0.107722637,1,,,,,
9.91E-01,0.375629147,0.375629147,1,,,,,
0.0492,0.168106567,0.168106567,1,,,,,
0.3848,0.328540094,0.328540094,1,,,,,
0.0213,0.336732493,0.336732493,1,,,,,
0,0.10554211,0.10554211,1,,,,,
0.0347,0.222289711,0.222289711,1,,,,,
0.0266,0.245594596,0.245594596,1,,,,,
0.0053,0.193137567,0.193137567,1,,,,,
0.1509,0.328360572,0.328360572,1,,,,,
0.0041,0.273422617,0.273422617,1,,,,,
0.214,0.416718904,0.416718904,1,,,,,
0.0635,0.347091503,0.347091503,1,,,,,
0.1114,0.297557818,0.297557818,1,,,,,
0.0026,0.326570695,0.326570695,1,,,,,
0.0055,0.158817054,0.158817054,1,,,,,
0.024,0.093842161,0.093842161,1,,,,,
0.551,0.301733225,0.301733225,1,,,,,
0,0.111578066,0.111578066,1,,,,,
0.0017,0.125196687,0.125196687,1,,,,,
0.3286,0.316650956,0.316650956,1,,,,,
0.0868,0.303182534,0.303182534,1,,,,,
0.165,0.391338198,0.391338198,1,,,,,
0.0747,0.197173633,0.197173633,1,,,,,
8.93E-01,0.248855716,0.248855716,1,,,,,
0.0158,0.511050333,0.511050333,1,,,,,
0.0122,0.342748478,0.342748478,1,,,,,
