,CID,TYPE,ITYPE_BEST,FITPROB_Ia,FITPROB_Ibc,FITPROB_II,CHI2_Ia,CHI2_Ibc,CHI2_II,PBAYES_Ia,PBAYES_Ibc,PBAYES_II,Ia=0__CC=1
1265,4580,20,-9,0.9228,0.9920,0.9886,3.8214,1.9687,2.1644,0.2276,0.1583,0.6141,1
1266,11955,20,0,0.9932,0.9953,0.9888,6.5763,6.1932,7.1540,0.4888,0.3660,0.1452,1
1267,14354,20,0,0.9999,0.9989,0.9997,2.1343,3.0910,2.4032,0.5017,9.74796e-02,0.4009,1
1268,13689,20,-9,0.2185,0.9595,0.9738,11.9093,3.1162,2.7386,6.59860e-03,0.1839,0.8095,1
1269,9621,20,0,6.27019e-02,2.80716e-03,7.78353e-05,24.1432,34.5950,44.9550,0.9977,2.26989e-03,1.68171e-06,1
1270,10142,21,0,0.9987,0.9993,0.9992,0.2358,0.1791,0.1904,0.4717,0.2843,0.2440,1
1271,576,22,0,0.9982,0.8778,0.9493,4.8517,10.5739,8.6968,0.9252,1.07674e-02,6.40528e-02,1
1272,6270,32,0,0.8630,0.8227,0.8232,8.4778,9.1287,9.1212,0.6556,5.43453e-02,0.2901,1
1273,2191,32,0,0.9911,0.9936,0.9823,7.4896,7.1179,8.3936,0.7274,0.1554,0.1172,1
1274,6609,32,0,0.9636,0.9403,0.9280,9.5318,9.7320,10.8735,0.6514,0.3023,4.63026e-02,1
1275,6331,33,0,0.5280,0.4554,0.4952,17.9168,19.0225,18.4110,0.8175,6.36781e-02,0.1188,1
1276,8732,33,0,0.9958,0.9885,0.9920,5.5410,6.5620,6.1666,0.8749,0.1090,1.61408e-02,1
1277,10509,33,-9,0.9642,0.9227,0.9257,0.5894,1.4151,1.3871,0.6618,0.1799,0.1583,1
1278,14395,20,0,0.9920,0.9904,0.9901,1.9655,2.0672,2.0801,0.6635,0.1850,0.1515,1
1279,10789,20,-9,0.9187,0.9237,0.9699,10.3834,10.2424,8.5147,7.70516e-02,4.29881e-02,0.8800,1
1280,2493,20,0,0.9991,0.9987,0.9924,5.3087,5.5961,7.3016,0.8284,0.1282,4.33809e-02,1
1281,3761,20,1,0.2952,0.9785,1.44695e-02,10.7225,2.0784,19.0739,3.14927e-02,0.9684,1.49416e-04,1
1282,13459,20,2,0.9429,0.8373,0.9996,9.6432,12.1893,4.2483,2.58782e-02,1.80919e-03,0.9723,1
1283,3073,20,0,0.8577,0.7973,0.8470,12.6137,13.7637,12.8325,0.4951,0.1853,0.3196,1
1284,8889,20,-9,0.6871,0.8261,0.8549,8.2903,7.4552,7.0405,0.1351,0.1433,0.7217,1
1285,708,20,-9,1,1,0.9291,3.0060,2.9651,10.8406,0.2349,0.7437,2.13598e-02,1
1286,687,20,0,0.8789,0.5085,0.3882,10.5521,16.2176,16.9593,0.9884,7.70140e-03,3.91382e-03,1
1287,14649,20,0,0.8962,0.8547,0.8000,11.7458,12.6776,13.7160,0.7765,0.1216,0.1019,1
1288,7547,21,0,0.9673,0.9238,0.9960,0.9398,0.9055,0.1837,0.4608,0.2774,0.2619,1
1289,11388,22,0,0.9054,0.8395,0.8748,4.0904,4.9404,4.5091,0.5083,0.1316,0.3600,1
1290,14605,22,-9,0.9999,0.9977,0.9997,1.97447e-08,4.60854e-03,1.67806e-07,0.9169,5.58051e-03,7.75064e-02,1
1291,7921,32,0,0.9049,0.7219,0.3631,4.0968,6.1788,8.7587,0.7935,2.28810e-02,0.1836,1
1292,3084,32,-9,0.9962,0.9998,1,1.2439,0.5311,0.1757,0.1691,0.5617,0.2693,1
1293,4865,32,0,0.9834,0.9351,0.4905,7.6473,9.9009,16.4747,0.8402,0.1474,1.24062e-02,1
1294,9929,33,0,0.8904,0.9032,0.8599,11.8864,11.5681,12.5686,0.7578,0.1469,9.53196e-02,1
1295,12098,33,0,0.6384,0.6164,0.3331,15.3417,15.6578,19.9953,0.9859,1.40596e-02,2.12657e-05,1
1296,12360,33,1,0.8415,0.9686,0.2800,12.9420,9.2773,22.0859,2.56480e-02,0.9741,2.24564e-04,1
1297,3720,20,-9,0.9194,0.8801,0.9517,11.1286,12.1281,10.0511,0.1195,0.6628,0.2178,1
1298,1481,20,0,0.9842,0.9833,0.9693,8.2342,8.3109,9.2391,0.4590,0.2446,0.2964,1
1299,6581,20,0,0.9977,0.8985,0.9858,2.6113,6.3315,3.8605,0.8930,5.10022e-02,5.59990e-02,1
1300,599,20,0,0.5005,0.1709,0.1685,8.3373,12.8209,12.8714,0.5725,0.2177,0.2098,1
1301,948,20,-9,0.6135,0.6193,0.6194,14.7499,14.6695,14.6679,3.51474e-02,0.4398,0.5251,1
1302,10365,20,0,0.3035,6.26826e-02,4.69047e-02,20.5354,27.9590,29.1223,0.9835,5.86469e-03,1.06079e-02,1
1303,2101,20,-9,0.8096,0.7790,0.9708,5.2756,5.6020,2.8262,0.3683,8.30560e-02,0.5487,1
1304,1718,20,0,0.8937,0.4125,2.34736e-02,11.0160,19.7061,31.7594,0.9488,5.10365e-02,1.51622e-04,1
1305,4063,20,0,0.9218,0.5830,0.1309,9.5387,16.1370,24.7862,0.9448,5.39110e-02,1.25496e-03,1
1306,4639,21,-9,0.9977,0.9987,0.9993,1.0765,1.2368,1.0698,0.2361,0.1276,0.6363,1
1307,514,22,0,0.1304,7.99882e-02,6.30429e-05,24.8048,28.1820,50.5162,0.9856,1.44495e-02,2.87673e-07,1
1308,14938,32,0,0.9866,0.6804,4.81117e-02,8.0034,15.6515,29.0219,0.9994,5.86953e-04,9.37064e-07,1
1309,7353,32,0,0.9999,0.9997,0.9992,4.0278,4.5953,5.2559,0.7135,7.88017e-02,0.2077,1
1310,9017,32,0,0.9862,0.9866,0.9819,8.0418,8.0062,8.4199,0.9677,1.92016e-02,1.30536e-02,1
1311,14288,33,0,0.9996,0.9995,0.9785,0.1385,0.1640,0.7760,0.6821,0.2811,3.67739e-02,1
1312,8973,33,0,0.9932,0.9596,0.9506,1.8832,3.1142,3.3118,0.8604,9.47295e-02,4.48825e-02,1
1313,10919,20,-9,0.9998,0.9898,0.9999,4.3553,7.6596,3.7175,0.1576,4.29982e-02,0.7994,1
1314,8716,20,0,0.7377,0.6602,0.8558,8.5869,8.5838,7.0267,0.7247,0.2147,6.05989e-02,1
1315,12960,20,-9,0.9831,0.9817,0.9759,7.6726,7.7824,8.1736,0.2240,6.07013e-02,0.7153,1
1316,1748,20,0,3.92292e-03,1.21816e-08,1.97079e-27,36.5066,71.4373,170.7735,1,2.18960e-08,5.58520e-30,1
1317,14961,20,2,0.7701,0.3201,0.9424,14.2303,21.3071,10.3983,8.18424e-02,1.97634e-03,0.9162,1
1318,7448,20,0,0.9773,0.9323,0.9278,8.7571,10.7405,10.8808,0.4951,0.2307,0.2742,1
1319,7222,20,0,0.6717,0.3197,8.87220e-02,14.8573,21.3136,27.7321,0.9160,7.94258e-02,4.55021e-03,1
1320,2153,20,0,0.9827,0.9609,0.9446,5.2065,6.2092,6.7297,0.7728,5.15107e-02,0.1757,1
1321,10643,20,-9,0.8474,0.9160,0.7263,12.8250,11.2252,14.9413,0.1082,0.8009,9.08927e-02,1
1322,4722,20,0,6.63815e-02,4.26834e-02,2.42774e-02,28.9749,30.7791,32.9630,0.8155,0.1620,2.24379e-02,1
1323,10341,21,0,2.35727e-12,5.12529e-33,2.33074e-25,94.3638,201.4555,162.8240,1,3.89944e-24,1.45832e-15,1
1324,497,22,0,0.9298,0.6646,0.5775,3.0713,6.7360,6.6259,0.9561,2.13032e-02,2.26119e-02,1
1325,8318,22,-9,0.7092,0.4065,0.4015,6.3032,8.2812,8.3344,0.3246,0.5016,0.1738,1
1326,1158,32,0,0.8924,0.8033,0.3918,4.2755,4.5615,8.4385,0.6069,0.1553,0.2378,1
1327,3684,32,-9,0.9674,0.9019,0.8595,5.9636,7.7499,8.5366,0.4002,0.4079,0.1919,1
1328,9153,32,0,0.9909,0.9503,0.9158,2.0373,3.3179,3.9330,0.9250,6.35318e-02,1.14685e-02,1
1329,3261,33,0,0.9675,0.9899,2.40622e-02,9.3362,7.6503,31.6679,0.5133,0.4867,2.32364e-07,1
1330,2647,33,0,1,0.9999,0.9994,0.1689,0.3320,0.5228,0.9005,8.75096e-02,1.19939e-02,1
1331,9623,20,2,0.1878,0.5379,0.9302,21.9195,16.7861,9.3045,4.90418e-03,5.15054e-02,0.9436,1
1332,8323,20,-9,0.9996,0.8530,0.9997,1.5472,6.2949,1.7934,9.05019e-02,3.95970e-02,0.8699,1
1333,13903,20,0,0.8211,0.8602,0.8456,12.4867,11.7430,12.0308,0.7740,0.1438,8.21818e-02,1
1334,7617,20,2,0.4893,1.63900e-02,0.9935,18.4999,33.0651,7.1246,4.29230e-04,3.40413e-07,0.9996,1
1335,12729,20,0,0.7373,0.8809,0.8648,14.7670,12.1082,12.4659,0.4423,0.3116,0.2460,1
1336,5589,20,0,0.3918,0.5314,0.6010,8.4386,7.0483,6.4134,0.6749,0.1374,0.1877,1
1337,8554,20,0,0.9840,0.9771,0.9890,8.2475,8.7673,7.7540,0.6902,3.07148e-02,0.2790,1
1338,10232,20,0,0.5323,5.98740e-02,6.27922e-02,17.8520,29.4051,27.9518,0.5579,3.18057e-03,0.4389,1
1339,4189,20,-9,0.7907,0.6947,0.6835,5.4789,6.4450,6.5535,9.12218e-02,0.3076,0.6012,1
1340,5801,21,2,0.7723,4.21215e-10,0.9974,13.3180,79.7707,5.6450,2.58670e-02,1.28437e-17,0.9741,1
1341,673,22,0,0.9991,0.9991,0.9890,1.1169,1.1072,2.1448,0.7768,0.1884,3.48459e-02,1
1342,4732,22,0,0.9394,0.9155,0.9004,9.0269,9.7051,10.0760,0.9223,4.83373e-02,2.93554e-02,1
